WKT,group,支社略通称線,支社コード,支社,支社略,通称線コード,通称線,begin,end,length,cnt_toboku,cnt_bassai2022,cnt_bassai2023,cnt_bassai2024,cnt_bassai2022-2024,
"LINESTRING (139.7620759 35.73806908,139.7660519 35.73483545,139.7835144 35.73239761)",首都圏本部_常磐貨物,東京常磐貨物,416,首都圏本部,東京,482,常磐貨物,0,2100,2116.451152,0,0,0,0,0,0
"LINESTRING (139.799865 35.73437133,139.7987747 35.73186159)",首都圏本部_南千住支線,東京南千住支線,416,首都圏本部,東京,483,南千住支線,0,300,300.6203093,0,0,0,0,0,0
"LINESTRING (139.765149 35.68159724,139.7698885 35.68753895,139.7779306 35.6904817,139.78467 35.69513054,139.7941774 35.69621742)",首都圏本部_総武快速,東京総武快速,416,首都圏本部,東京,649,総武快速,0,3300,3291.398676,0,0,0,0,0,0
"LINESTRING (139.7648159 35.69965298,139.7810701 35.69772093)",首都圏本部_総武本線,東京総武本線,416,首都圏本部,東京,651,総武本線,0,1500,1491.847629,0,0,0,0,0,0
"LINESTRING (139.8191891 35.66247072,139.8180812 35.66236326)",首都圏本部_越中島線,東京越中島線,416,首都圏本部,東京,652,越中島線,4400,4500,100.9962302,0,0,0,0,0,0
"LINESTRING (139.8604663 35.76449939,139.861406 35.76778057,139.8677592 35.76911996)",首都圏本部_金町線,東京金町線,416,首都圏本部,東京,653,金町線,6000,7000,993.6692262,0,0,0,0,0,0
"LINESTRING (140.0424027 35.86849474,140.0346577 35.86806713,140.0248838 35.86974099,140.0185479 35.87310273,140.0118168 35.87286843)",首都圏本部_成田線我孫,東京成田線我孫,416,首都圏本部,東京,662,成田線我孫,43000,45900,2907.990014,0,0,0,0,0,0
"LINESTRING (139.7651202 35.67774489,139.7731813 35.67483615,139.7819698 35.67430854,139.7999884 35.66255413,139.8096094 35.66132678)",首都圏本部_京葉線,東京京葉線,416,首都圏本部,東京,668,京葉線,0,4600,4606.205906,0,0,0,0,0,0
"LINESTRING (139.7060557 35.54011458,139.6799829 35.51691661,139.6731247 35.50102589,139.6590679 35.48953262,139.6535168 35.48664559,139.652556 35.48620695,139.6370064 35.4820862,139.6132797 35.45607111,139.599299 35.44609486,139.5953261 35.44481599,139.5778756 35.44686124,139.5619393 35.43880675,139.5574821 35.43363154,139.5568759 35.42828587,139.5538087 35.42254125,139.5384733 35.41375369,139.5350798 35.41023705,139.5337471 35.40296398,139.5358439 35.39421829,139.534338 35.38078132,139.5295274 35.37073213,139.5293986 35.36107512,139.5317234 35.35610145,139.5296164 35.35094651,139.5044052 35.33652424,139.5001042 35.33588562,139.48855 35.33880749,139.4753589 35.33822898,139.4468396 35.33678567,139.4424688 35.33658105,139.4248714 35.33569609,139.4237733 35.3356405,139.4226831 35.33558069,139.3973166 35.32727807,139.3738763 35.33168726,139.3555841 35.32868718,139.3406156 35.32576064,139.3288388 35.3209872,139.310402 35.30967091,139.2724951 35.30464031,139.2343836 35.29099851,139.2180633 35.28196861,139.1732112 35.27365699,139.1588835 35.26012045,139.142305 35.23379102,139.1406332 35.22497239,139.1419095 35.21881171,139.1384751 35.21337015,139.1407666 35.20663754,139.1357579 35.19774125,139.1360203 35.18607915,139.1327101 35.17874367,139.1377392 35.16889453,139.1361985 35.1609987,139.1292599 35.15546192,139.1198512 35.15314834,139.1114191 35.15415739,139.1064852 35.14842754,139.0972277 35.14362273,139.0902015 35.11721241,139.0848856 35.11293345,139.0833831 35.10777095,139.0715608 35.0999963,139.0620256 35.09888726)",横浜支社_東海道本線,横浜東海道本線,417,横浜支社,横浜,111,東海道本線,17100,106200,89186.57755,0,19,20,635,674,7.557190986
"LINESTRING (139.6653761 35.56855172,139.681428 35.52000886,139.6765515 35.50823773)",横浜支社_品鶴線,横浜品鶴線,417,横浜支社,横浜,115,品鶴線,10700,17700,6989.382415,0,290,33,1,324,46.35602701
"LINESTRING (139.7058179 35.54020528,139.6791538 35.5162725,139.6730427 35.50105736,139.6625893 35.49177901,139.6545451 35.4870168,139.6371542 35.48197154,139.6228641 35.46601155)",横浜支社_東海道電車,横浜東海道電車,417,横浜支社,横浜,117,東海道電車,17100,28700,11617.73041,0,3,0,0,3,0.258225995
"LINESTRING (139.6764265 35.50770461,139.6740827 35.50179454,139.6645051 35.4944257,139.6140932 35.49618359,139.5931096 35.48632461,139.5871069 35.48111004,139.5733321 35.45663008,139.557161 35.43723681,139.5565343 35.42834321,139.5542376 35.42331807,139.5381225 35.41389806,139.5348784 35.41033054,139.533582 35.40297171,139.5357042 35.39421324,139.5341912 35.38079712,139.5294362 35.37074497,139.5293017 35.36108597,139.5315748 35.35610857,139.5295024 35.35095493,139.5043388 35.33657851,139.5000978 35.33596238,139.4885386 35.33892809,139.4478986 35.3369711,139.4424138 35.33665218,139.4259461 35.33582891,139.4237575 35.33571864,139.4226825 35.33566259,139.3972563 35.32734774,139.3727661 35.3320105,139.3416293 35.32614398,139.3278128 35.32063235,139.3103707 35.30977817,139.2724852 35.30471723,139.2343297 35.29108966,139.2179387 35.28217767,139.1749955 35.27472966,139.1561112 35.25624129)",横浜支社_東海道貨物,横浜東海道貨物,417,横浜支社,横浜,118,東海道貨物,0,83900,62995.91714,0,0,0,0,0,0
"LINESTRING (139.6726817 35.50034493,139.6647491 35.49381817,139.6603389 35.48764508,139.6486814 35.48275636,139.6372142 35.47180262)",横浜支社_高島線,横浜高島線,417,横浜支社,横浜,122,高島線,900,5500,4638.181813,0,118,0,20,138,29.75303806
"LINESTRING (139.636394 35.4711994,139.6252819 35.46134289,139.6248063 35.4587067,139.6290977 35.45313102)",横浜支社_高島単線,横浜高島単線,417,横浜支社,横浜,126,高島単線,5600,8100,2533.828702,0,0,0,0,0,0
"LINESTRING (139.6751005 35.5410212,139.6768408 35.53799203,139.6821687 35.5350499,139.6838976 35.53173469)",横浜支社_尻手短絡線,横浜尻手短絡線,417,横浜支社,横浜,132,尻手短絡線,0,1400,1362.411437,0,0,0,0,0,0
"LINESTRING (139.6979368 35.53241898,139.6908454 35.52683557,139.6858465 35.52841288,139.6653159 35.57582193,139.6470597 35.57797475,139.622709 35.5902673,139.6097958 35.6000435,139.6000847 35.60405476,139.5872197 35.61349441,139.5636278 35.62233714,139.5561235 35.62881116,139.534906 35.63361619,139.5248325 35.63914511)",横浜支社_南武線,横浜南武線,417,横浜支社,横浜,151,南武線,0,22000,21993.77281,0,59,58,3,120,5.456089822
"LINESTRING (139.6841357 35.53107778,139.6900429 35.52374523,139.7103829 35.51160886,139.7177942 35.51010068)",横浜支社_尻手支線,横浜尻手支線,417,横浜支社,横浜,152,尻手支線,0,4000,3988.159296,0,0,0,0,0,0
"LINESTRING (139.7502751 35.54386537,139.7485987 35.53420316,139.7384607 35.52143138,139.7289748 35.5203618,139.7224701 35.51437049,139.7138697 35.51060664,139.707821 35.5126671,139.6922017 35.52267482,139.6880582 35.52334225,139.6797309 35.51620464,139.6765734 35.50855841)",横浜支社_東海道貨支,横浜東海道貨支,417,横浜支社,横浜,153,東海道貨支,15200,25500,10291.17724,0,21,38,150,209,20.3086581
"LINESTRING (139.6678851 35.58000781,139.6643151 35.57802584,139.6633294 35.57461876,139.6739149 35.54622887,139.6813061 35.52088024,139.6746171 35.50304617,139.6599376 35.49009481,139.652489 35.48627156,139.6369477 35.48216181,139.6132217 35.45612814,139.5983086 35.44557419,139.5778348 35.44700437,139.5579162 35.43755263,139.5565601 35.43514448,139.5565959 35.42797338,139.5540698 35.42295898,139.5379309 35.41365997,139.5348871 35.41006201,139.5338032 35.40307995,139.53589 35.394258,139.5345703 35.38169559,139.5296662 35.37071575,139.5294856 35.36110981,139.5321025 35.35611422,139.5309714 35.35267667)",横浜支社_東海道須賀,横浜東海道須賀,417,横浜支社,横浜,155,東海道須賀,9200,46500,33329.5077,0,164,10,78,252,7.560867753
"LINESTRING (139.7350131 35.52024792,139.7285672 35.52021436,139.7234326 35.51561523)",横浜支社_塩浜連絡線,横浜塩浜連絡線,417,横浜支社,横浜,158,塩浜連絡線,1800,3100,1295.564185,0,0,0,0,0,0
"LINESTRING (139.6758689 35.50836238,139.6751145 35.50133703,139.6840521 35.49506229,139.6946256 35.49728682,139.7075225 35.5023724,139.7109972 35.50873335,139.7138492 35.50994206,139.7225287 35.50916835,139.724054 35.50584891,139.722446 35.50163052)",横浜支社_鶴見線,横浜鶴見線,417,横浜支社,横浜,161,鶴見線,0,7000,6976.36029,0,727,15,0,742,106.3591858
"LINESTRING (139.6944191 35.49722712,139.6971293 35.49642573,139.7023906 35.48855475,139.7013662 35.48632753)",横浜支社_海芝浦支線,横浜海芝浦支線,417,横浜支社,横浜,163,海芝浦支線,0,1600,1582.64614,0,0,0,0,0,0
"LINESTRING (139.7052468 35.50138109,139.707295 35.50124284,139.7110425 35.49576066)",横浜支社_大川支線,横浜大川支線,417,横浜支社,横浜,165,大川支線,0,900,892.3850935,0,0,115,0,115,128.868132
"LINESTRING (139.6957239 35.49752617,139.7090393 35.50377765)",横浜支社_鶴見貨物,横浜鶴見貨物,417,横浜支社,横浜,166,鶴見貨物,3000,4400,1409.560459,0,0,0,0,0,0
"LINESTRING (139.6334958 35.47816709,139.6375766 35.48237683,139.6447104 35.48471571,139.6470909 35.48752184,139.6453439 35.49640524,139.6413923 35.5048213,139.6341668 35.50875114,139.6277584 35.5095805,139.6206645 35.50721385,139.6075552 35.50582111,139.5947094 35.51064023,139.5807161 35.51304974,139.5547602 35.50987415,139.5431988 35.51279713,139.5180589 35.525726,139.5005448 35.53137871,139.4799327 35.53123667,139.4699434 35.53667048,139.4546416 35.53739088,139.3442109 35.59516769,139.3341021 35.60065626,139.3319605 35.60369114)",横浜支社_横浜線,横浜横浜線,417,横浜支社,横浜,171,横浜線,0,35300,35226.90258,0,30,343,8,381,10.81559751
"LINESTRING (139.6225328 35.46564986,139.6217537 35.46228884,139.6331252 35.44711824,139.6420382 35.44056702,139.6453226 35.43391842,139.6478744 35.42250135,139.6445291 35.41806472,139.6341706 35.41537048,139.6257047 35.41099683,139.6171569 35.39853835,139.6158801 35.39230969,139.6204743 35.38520362,139.6199543 35.38083067,139.6135038 35.37776327,139.6006782 35.37963252,139.5882893 35.37601033,139.5795739 35.37591926,139.5462077 35.36704648,139.5345615 35.36872333,139.5311283 35.36656042,139.529691 35.36240187,139.5321458 35.35662712,139.53131 35.35309764)",横浜支社_根岸線,横浜根岸線,417,横浜支社,横浜,173,根岸線,0,22000,22002.14951,0,20,84,30,134,6.090314037
"LINESTRING (139.5398068 35.36839652,139.5345609 35.3687863,139.5310545 35.36664602,139.5291871 35.361476,139.530951 35.35827241)",横浜支社_根岸貨物,横浜根岸貨物,417,横浜支社,横浜,174,根岸貨物,19500,21400,1893.278941,0,0,0,0,0,0
"LINESTRING (139.5309168 35.35253476,139.5303736 35.34890404,139.5342036 35.34460482,139.5407741 35.34140799,139.54804 35.33463976,139.5521531 35.31376575,139.5687088 35.30561689,139.5731487 35.29854699,139.577264 35.29748993,139.5923739 35.29978123,139.6109421 35.29782227,139.6247931 35.2926551,139.6400562 35.29242947,139.6486412 35.28851043,139.6585325 35.28176035,139.654861 35.264073,139.6558543 35.25974367,139.6768182 35.25230589,139.6952411 35.23944482,139.7007335 35.23382896)",横浜支社_横須賀線,横浜横須賀線,417,横浜支社,横浜,175,横須賀線,0,23800,23876.19446,0,13,275,51,339,14.19824254
"LINESTRING (139.4064708 35.33042437,139.4104606 35.33198673,139.4109275 35.33367051,139.401306 35.35088177,139.3990443 35.35875389,139.3861484 35.36849124,139.3793708 35.37131077,139.3779116 35.37461221,139.3797062 35.38164497,139.3779915 35.39411636,139.3816942 35.40352728,139.3776179 35.41368482,139.3771609 35.42441863,139.3804399 35.42906001,139.3809361 35.43359068,139.3784641 35.44046917,139.3788843 35.44669501,139.3805214 35.4499482,139.392287 35.45644608,139.3955696 35.47057176,139.3875983 35.48638359,139.3848668 35.51148541,139.376263 35.5278558,139.3612254 35.54777137,139.3635261 35.5572581,139.3550401 35.56420549,139.3520712 35.5690206,139.3527662 35.58969489,139.3451935 35.59460709)",横浜支社_相模線,横浜相模線,417,横浜支社,横浜,177,相模線,0,33200,33184.81955,0,26,25,10,61,1.838189896
"LINESTRING (139.2125383 35.28105035,139.2066774 35.28206886,139.1977918 35.29031901)",横浜支社_御殿場線,横浜御殿場線,417,横浜支社,横浜,181,御殿場線,0,1800,1805.308037,0,0,0,0,0,0
"LINESTRING (139.0781302 35.10370005,139.0719657 35.09987976,139.0666217 35.0989005)",横浜支社_伊東線熱海,横浜伊東線熱海,417,横浜支社,横浜,183,伊東線熱海,0,1200,1205.197849,0,135,108,115,358,297.0466636
"LINESTRING (139.065863 35.09879678,139.0627899 35.09797879,139.0617941 35.09551189,139.0674089 35.0689136,139.0666587 35.05046785,139.0690539 35.0464802,139.0785803 35.0456413,139.0814079 35.04316709,139.0773653 35.01453156,139.0809129 35.00134656,139.0923579 34.98868699,139.093427 34.98339488,139.0923273 34.97544625)",横浜支社_伊東線来宮,横浜伊東線来宮,417,横浜支社,横浜,184,伊東線来宮,0,15500,15475.92543,0,0,0,0,0,0
"LINESTRING (139.6672512 35.56221024,139.6633146 35.5741373,139.6611055 35.57605498,139.6149296 35.57789871,139.5952866 35.58343108,139.5554602 35.60301023,139.5463369 35.61082074,139.5380513 35.61519167,139.5196979 35.62126604,139.5143019 35.62445883)",横浜支社_武蔵野線,横浜武蔵野線,417,横浜支社,横浜,201,武蔵野線,2500,18900,16460.7577,0,1,34,0,35,2.126269072
"LINESTRING (139.5240591 35.63959449,139.5183533 35.64253299,139.5051548 35.64325454,139.4926684 35.64907018,139.4852561 35.65009269,139.4759768 35.6678243,139.4621216 35.66802038,139.453446 35.67362328,139.4503287 35.6800397,139.4391761 35.68401244,139.4283519 35.68574342,139.4223474 35.69703944,139.4137599 35.69757279)",八王子支社_南武線,八王子南武線,418,八王子支社,八王子,151,南武線,22100,35500,13414.91991,0,0,0,0,0,0
